#timestamp,constant_power_B
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,798.333+j262.399
2025-01-01 00:02:00.00 PST,796.667+j261.852
2025-01-01 00:03:00.00 PST,800+j262.947
2025-01-01 00:04:00.00 PST,801.667+j263.495
2025-01-01 00:05:00.00 PST,800+j262.947
2025-01-01 00:06:00.00 PST,798.333+j262.399
2025-01-01 00:07:00.00 PST,801.667+j263.495
2025-01-01 00:08:00.00 PST,806.667+j265.139
2025-01-01 00:09:00.00 PST,795+j261.304
2025-01-01 00:10:00.02 PST,768.333+j252.539
2025-01-01 00:11:00.02 PST,770+j253.087
2025-01-01 00:12:00.02 PST,771.667+j253.635
2025-01-01 00:13:00.02 PST,778.333+j255.826
2025-01-01 00:14:00.02 PST,778.333+j255.826
2025-01-01 00:15:00.02 PST,810+j266.234
2025-01-01 00:16:00.02 PST,810+j266.234
2025-01-01 00:17:00.02 PST,810+j266.234
2025-01-01 00:18:00.02 PST,815+j267.878
2025-01-01 00:19:00.02 PST,820+j269.521
2025-01-01 00:20:00.02 PST,815+j267.878
2025-01-01 00:21:00.02 PST,811.667+j266.782
2025-01-01 00:22:00.02 PST,821.667+j270.069
2025-01-01 00:23:00.02 PST,818.333+j268.973
2025-01-01 00:24:00.02 PST,837+j275.109
2025-01-01 00:25:00.02 PST,839+j275.766
2025-01-01 00:26:00.02 PST,844.333+j277.519
2025-01-01 00:27:00.02 PST,886.333+j291.324
2025-01-01 00:28:00.02 PST,945+j310.606
2025-01-01 00:29:00.02 PST,947.667+j311.483
2025-01-01 00:30:00.02 PST,945.333+j310.716
2025-01-01 00:31:00.02 PST,951.333+j312.688
2025-01-01 00:32:00.02 PST,959+j315.208
2025-01-01 00:33:00.02 PST,971.667+j319.371
2025-01-01 00:34:00.02 PST,973.333+j319.919
2025-01-01 00:35:00.02 PST,955+j313.893
2025-01-01 00:36:00.02 PST,961.667+j316.085
2025-01-01 00:37:00.02 PST,961.667+j316.085
2025-01-01 00:38:00.02 PST,965+j317.18
2025-01-01 00:39:00.02 PST,918+j301.732
2025-01-01 00:40:00.02 PST,924.333+j303.814
2025-01-01 00:41:00.02 PST,937.333+j308.086
2025-01-01 00:42:00.02 PST,928.667+j305.238
2025-01-01 00:43:00.02 PST,920+j302.389
2025-01-01 00:44:00.02 PST,928.333+j305.128
2025-01-01 00:45:00.02 PST,925+j304.033
2025-01-01 00:46:00.02 PST,926.667+j304.581
2025-01-01 00:47:00.02 PST,931.667+j306.224
2025-01-01 00:48:00.02 PST,933.333+j306.772
2025-01-01 00:49:00.02 PST,930+j305.676
2025-01-01 00:50:00.02 PST,921.667+j302.937
2025-01-01 00:51:00.02 PST,925+j304.033
2025-01-01 00:52:00.02 PST,878.333+j288.694
2025-01-01 00:53:00.02 PST,875+j287.599
2025-01-01 00:54:00.02 PST,871.667+j286.503
2025-01-01 00:55:00.02 PST,843.333+j277.19
2025-01-01 00:56:00.02 PST,843.333+j277.19
2025-01-01 00:57:00.02 PST,843.333+j277.19
2025-01-01 00:58:00.02 PST,836.667+j274.999
2025-01-01 00:59:00.02 PST,843.333+j277.19
2025-01-01 01:00:00.02 PST,840+j276.095
2025-01-01 01:01:00.02 PST,843.333+j277.19
2025-01-01 01:02:00.02 PST,855+j281.025
2025-01-01 01:03:00.02 PST,866.667+j284.86
2025-01-01 01:04:00.02 PST,861.333+j283.106
2025-01-01 01:05:00.02 PST,854.333+j280.806
2025-01-01 01:06:00.02 PST,879+j288.913
2025-01-01 01:07:00.02 PST,857+j281.682
2025-01-01 01:08:00.02 PST,865+j284.312
2025-01-01 01:09:00.02 PST,836.667+j274.999
2025-01-01 01:10:00.02 PST,821.667+j270.069
2025-01-01 01:11:00.02 PST,816.667+j268.425
2025-01-01 01:12:00.02 PST,853.333+j280.477
2025-01-01 01:13:00.02 PST,855+j281.025
2025-01-01 01:14:00.02 PST,858.333+j282.12
2025-01-01 01:15:00.02 PST,855+j281.025
2025-01-01 01:16:00.02 PST,600+j197.21
2025-01-01 01:17:00.02 PST,581.667+j191.185
2025-01-01 01:18:00.02 PST,556.667+j182.968
2025-01-01 01:19:00.02 PST,551.333+j181.214
2025-01-01 01:20:00.02 PST,547.667+j180.009
2025-01-01 01:21:00.02 PST,559+j183.734
2025-01-01 01:22:00.02 PST,555.333+j182.529
2025-01-01 01:23:00.02 PST,553.333+j181.872
2025-01-01 01:24:00.02 PST,552.667+j181.653
2025-01-01 01:25:00.02 PST,552+j181.434
2025-01-01 01:26:00.02 PST,556.333+j182.858
2025-01-01 01:27:00.02 PST,805.667+j264.81
2025-01-01 01:28:00.02 PST,808.333+j265.686
2025-01-01 01:29:00.02 PST,855+j281.025
