#timestamp,constant_power_B
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,677+j222.519
2025-01-01 00:02:00.00 PST,629+j206.742
2025-01-01 00:03:00.00 PST,591+j194.252
2025-01-01 00:04:00.00 PST,563+j185.049
2025-01-01 00:05:00.00 PST,525+j172.559
2025-01-01 00:06:00.00 PST,525+j172.559
2025-01-01 00:07:00.00 PST,545+j179.133
2025-01-01 00:08:00.00 PST,555+j182.42
2025-01-01 00:09:00.00 PST,595+j195.567
2025-01-01 00:10:00.02 PST,605+j198.854
2025-01-01 00:11:00.02 PST,575+j188.993
2025-01-01 00:12:00.02 PST,584+j191.952
2025-01-01 00:13:00.02 PST,583+j191.623
2025-01-01 00:14:00.02 PST,584+j191.952
2025-01-01 00:15:00.02 PST,595+j195.567
2025-01-01 00:16:00.02 PST,586+j192.609
2025-01-01 00:17:00.02 PST,588+j193.266
2025-01-01 00:18:00.02 PST,579+j190.308
2025-01-01 00:19:00.02 PST,587+j192.938
2025-01-01 00:20:00.02 PST,574+j188.665
2025-01-01 00:21:00.02 PST,582+j191.294
2025-01-01 00:22:00.02 PST,577+j189.651
2025-01-01 00:23:00.02 PST,562+j184.72
2025-01-01 00:24:00.02 PST,579+j190.308
2025-01-01 00:25:00.02 PST,566+j186.035
2025-01-01 00:26:00.02 PST,563+j185.049
2025-01-01 00:27:00.02 PST,553+j181.762
2025-01-01 00:28:00.02 PST,563+j185.049
2025-01-01 00:29:00.02 PST,543+j178.475
2025-01-01 00:30:00.02 PST,533+j175.189
2025-01-01 00:31:00.02 PST,783+j257.36
2025-01-01 00:32:00.02 PST,699+j229.75
2025-01-01 00:33:00.02 PST,666+j218.904
2025-01-01 00:34:00.02 PST,592+j194.581
2025-01-01 00:35:00.02 PST,572.333+j188.117
2025-01-01 00:36:00.02 PST,621.667+j204.332
2025-01-01 00:37:00.02 PST,405+j133.117
2025-01-01 00:38:00.02 PST,337.333+j110.876
2025-01-01 00:39:00.02 PST,330.667+j108.685
2025-01-01 00:40:00.02 PST,313+j102.878
