#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,915+j300.746
2025-01-01 00:02:00.00 PST,912+j299.76
2025-01-01 00:03:00.00 PST,909+j298.774
2025-01-01 00:04:00.00 PST,907+j298.116
2025-01-01 00:05:00.00 PST,906+j297.788
2025-01-01 00:06:00.00 PST,904+j297.13
2025-01-01 00:07:00.00 PST,908+j298.445
2025-01-01 00:08:00.00 PST,911+j299.431
2025-01-01 00:09:00.00 PST,914+j300.417
2025-01-01 00:10:00.02 PST,918+j301.732
2025-01-01 00:11:00.02 PST,921+j302.718
2025-01-01 00:12:00.02 PST,919+j302.061
2025-01-01 00:13:00.02 PST,917+j301.403
2025-01-01 00:14:00.02 PST,864+j283.983
2025-01-01 00:15:00.02 PST,814+j267.549
2025-01-01 00:16:00.02 PST,763+j250.786
2025-01-01 00:17:00.02 PST,712+j234.023
2025-01-01 00:18:00.02 PST,665+j218.575
2025-01-01 00:19:00.02 PST,619+j203.455
2025-01-01 00:20:00.02 PST,573+j188.336
2025-01-01 00:21:00.02 PST,527+j173.217
2025-01-01 00:22:00.02 PST,480+j157.768
2025-01-01 00:23:00.02 PST,433+j142.32
2025-01-01 00:24:00.02 PST,438+j143.964
2025-01-01 00:25:00.02 PST,444+j145.936
2025-01-01 00:26:00.02 PST,450+j147.908
2025-01-01 00:27:00.02 PST,453+j148.894
2025-01-01 00:28:00.02 PST,456+j149.88
2025-01-01 00:29:00.02 PST,453+j148.894
2025-01-01 00:30:00.02 PST,450+j147.908
2025-01-01 00:31:00.02 PST,446+j146.593
2025-01-01 00:32:00.02 PST,446+j146.593
2025-01-01 00:33:00.02 PST,446+j146.593
2025-01-01 00:34:00.02 PST,444+j145.936
2025-01-01 00:35:00.02 PST,442+j145.278
2025-01-01 00:36:00.02 PST,440+j144.621
2025-01-01 00:37:00.02 PST,443+j145.607
2025-01-01 00:38:00.02 PST,445+j146.264
2025-01-01 00:39:00.02 PST,454+j149.223
2025-01-01 00:40:00.02 PST,462+j151.852
2025-01-01 00:41:00.02 PST,469+j154.153
2025-01-01 00:42:00.02 PST,476+j156.454
2025-01-01 00:43:00.02 PST,483+j158.754
2025-01-01 00:44:00.02 PST,484+j159.083
2025-01-01 00:45:00.02 PST,487+j160.069
2025-01-01 00:46:00.02 PST,493+j162.041
2025-01-01 00:47:00.02 PST,498+j163.685
2025-01-01 00:48:00.02 PST,499+j164.013
2025-01-01 00:49:00.02 PST,498+j163.685
2025-01-01 00:50:00.02 PST,497+j163.356
2025-01-01 00:51:00.02 PST,493+j162.041
2025-01-01 00:52:00.02 PST,489+j160.727
2025-01-01 00:53:00.02 PST,485+j159.412
2025-01-01 00:54:00.02 PST,506+j166.314
2025-01-01 00:55:00.02 PST,525+j172.559
2025-01-01 00:56:00.02 PST,545+j179.133
2025-01-01 00:57:00.02 PST,567+j186.364
2025-01-01 00:58:00.02 PST,589+j193.595
2025-01-01 00:59:00.02 PST,583+j191.623
2025-01-01 01:00:00.02 PST,577+j189.651
2025-01-01 01:01:00.02 PST,571+j187.679
2025-01-01 01:02:00.02 PST,565+j185.707
2025-01-01 01:03:00.02 PST,559+j183.734
2025-01-01 01:04:00.02 PST,554+j182.091
2025-01-01 01:05:00.02 PST,550+j180.776
2025-01-01 01:06:00.02 PST,546+j179.462
2025-01-01 01:07:00.02 PST,541+j177.818
2025-01-01 01:08:00.02 PST,536+j176.175
2025-01-01 01:09:00.02 PST,532+j174.86
2025-01-01 01:10:00.02 PST,529+j173.874
2025-01-01 01:11:00.02 PST,526+j172.888
2025-01-01 01:12:00.02 PST,525+j172.559
2025-01-01 01:13:00.02 PST,523+j171.902
2025-01-01 01:14:00.02 PST,533+j175.189
2025-01-01 01:15:00.02 PST,541+j177.818
2025-01-01 01:16:00.02 PST,549+j180.448
2025-01-01 01:17:00.02 PST,554+j182.091
2025-01-01 01:18:00.02 PST,559+j183.734
2025-01-01 01:19:00.02 PST,570+j187.35
2025-01-01 01:20:00.02 PST,581+j190.965
2025-01-01 01:21:00.02 PST,591+j194.252
2025-01-01 01:22:00.02 PST,604+j198.525
2025-01-01 01:23:00.02 PST,618+j203.127
2025-01-01 01:24:00.02 PST,617+j202.798
