#timestamp,constant_power_A
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,1500+j493.026
2025-01-01 00:02:00.00 PST,1502+j493.684
2025-01-01 00:03:00.00 PST,1537.33+j505.297
2025-01-01 00:04:00.00 PST,1539.33+j505.954
2025-01-01 00:05:00.00 PST,1544.67+j507.707
2025-01-01 00:06:00.00 PST,1542.67+j507.05
2025-01-01 00:07:00.00 PST,1541.33+j506.612
2025-01-01 00:08:00.00 PST,1536.67+j505.078
2025-01-01 00:09:00.00 PST,1528.67+j502.449
2025-01-01 00:10:00.02 PST,1524+j500.915
2025-01-01 00:11:00.02 PST,1509.33+j496.094
2025-01-01 00:12:00.02 PST,1500.67+j493.245
2025-01-01 00:13:00.02 PST,1498.67+j492.588
2025-01-01 00:14:00.02 PST,1490+j489.739
2025-01-01 00:15:00.02 PST,1474.67+j484.7
2025-01-01 00:16:00.02 PST,1476.67+j485.357
2025-01-01 00:17:00.02 PST,1454.67+j478.126
2025-01-01 00:18:00.02 PST,1432.67+j470.895
2025-01-01 00:19:00.02 PST,1414+j464.759
2025-01-01 00:20:00.02 PST,1388.67+j456.433
2025-01-01 00:21:00.02 PST,1372.67+j451.174
2025-01-01 00:22:00.02 PST,1376.67+j452.489
2025-01-01 00:23:00.02 PST,1377.33+j452.707
2025-01-01 00:24:00.02 PST,1381.33+j454.022
2025-01-01 00:25:00.02 PST,1385.33+j455.337
2025-01-01 00:26:00.02 PST,1382.67+j454.461
2025-01-01 00:27:00.02 PST,1386+j455.556
2025-01-01 00:28:00.02 PST,1389.33+j456.652
2025-01-01 00:29:00.02 PST,1392.67+j457.748
2025-01-01 00:30:00.02 PST,1399.33+j459.939
2025-01-01 00:31:00.02 PST,1400+j460.158
2025-01-01 00:32:00.02 PST,1403.33+j461.253
2025-01-01 00:33:00.02 PST,1400+j460.158
2025-01-01 00:34:00.02 PST,1400+j460.158
2025-01-01 00:35:00.02 PST,1400+j460.158
2025-01-01 00:36:00.02 PST,1400+j460.158
2025-01-01 00:37:00.02 PST,1402+j460.815
2025-01-01 00:38:00.02 PST,1404+j461.472
2025-01-01 00:39:00.02 PST,1406+j462.13
2025-01-01 00:40:00.02 PST,1411.33+j463.883
2025-01-01 00:41:00.02 PST,1409.33+j463.225
2025-01-01 00:42:00.02 PST,1406.67+j462.349
2025-01-01 00:43:00.02 PST,1404+j461.472
2025-01-01 00:44:00.02 PST,1398+j459.5
2025-01-01 00:45:00.02 PST,1395.33+j458.624
2025-01-01 00:46:00.02 PST,1388+j456.214
2025-01-01 00:47:00.02 PST,1384+j454.899
2025-01-01 00:48:00.02 PST,1376.67+j452.489
2025-01-01 00:49:00.02 PST,1342.67+j441.313
2025-01-01 00:50:00.02 PST,1332+j437.807
2025-01-01 00:51:00.02 PST,1330+j437.15
2025-01-01 00:52:00.02 PST,1330+j437.15
2025-01-01 00:53:00.02 PST,1330+j437.15
2025-01-01 00:54:00.02 PST,1330+j437.15
2025-01-01 00:55:00.02 PST,1333.33+j438.245
2025-01-01 00:56:00.02 PST,1336.67+j439.341
2025-01-01 00:57:00.02 PST,1349.33+j443.504
2025-01-01 00:58:00.02 PST,1358.67+j446.572
2025-01-01 00:59:00.02 PST,1374.67+j451.831
2025-01-01 01:00:00.02 PST,1387.33+j455.994
2025-01-01 01:01:00.02 PST,1422.67+j467.608
2025-01-01 01:02:00.02 PST,1418+j466.074
2025-01-01 01:03:00.02 PST,1413.33+j464.54
2025-01-01 01:04:00.02 PST,1405.33+j461.911
2025-01-01 01:05:00.02 PST,1400.67+j460.377
2025-01-01 01:06:00.02 PST,1400+j460.158
2025-01-01 01:07:00.02 PST,1418.67+j466.293
2025-01-01 01:08:00.02 PST,1440.67+j473.524
2025-01-01 01:09:00.02 PST,1462.67+j480.755
2025-01-01 01:10:00.02 PST,1484.67+j487.986
2025-01-01 01:11:00.02 PST,1503.33+j494.122
2025-01-01 01:12:00.02 PST,1504.67+j494.56
2025-01-01 01:13:00.02 PST,1499.33+j492.807
2025-01-01 01:14:00.02 PST,1497.33+j492.15
2025-01-01 01:15:00.02 PST,1298.67+j426.851
2025-01-01 01:16:00.02 PST,1260+j414.142
2025-01-01 01:17:00.02 PST,1263.33+j415.237
2025-01-01 01:18:00.02 PST,1263.33+j415.237
2025-01-01 01:19:00.02 PST,1263.33+j415.237
2025-01-01 01:20:00.02 PST,1266.67+j416.333
2025-01-01 01:21:00.02 PST,1262.67+j415.019
2025-01-01 01:22:00.02 PST,1262+j414.799
2025-01-01 01:23:00.02 PST,1261.33+j414.58
2025-01-01 01:24:00.02 PST,1260.67+j414.361
2025-01-01 01:25:00.02 PST,1260+j414.142
2025-01-01 01:26:00.02 PST,1260+j414.142
2025-01-01 01:27:00.02 PST,1444.67+j474.839
2025-01-01 01:28:00.02 PST,1446+j475.277
2025-01-01 01:29:00.02 PST,1487.33+j488.863
2025-01-01 01:30:00.02 PST,1488.67+j489.301
2025-01-01 01:31:00.02 PST,1516.67+j498.504
2025-01-01 01:32:00.02 PST,1525.33+j501.353
2025-01-01 01:33:00.02 PST,1544+j507.488
2025-01-01 01:34:00.02 PST,1556+j511.432
2025-01-01 01:35:00.02 PST,1601.33+j526.333
2025-01-01 01:36:00.02 PST,1601.33+j526.333
2025-01-01 01:37:00.02 PST,1589.33+j522.388
2025-01-01 01:38:00.02 PST,1567.33+j515.157
2025-01-01 01:39:00.02 PST,1592+j523.265
2025-01-01 01:40:00.02 PST,1603.33+j526.99
2025-01-01 01:41:00.02 PST,1580+j519.321
2025-01-01 01:42:00.02 PST,1573.33+j517.13
2025-01-01 01:43:00.02 PST,1576.67+j518.225
2025-01-01 01:44:00.02 PST,1573.33+j517.13
2025-01-01 01:45:00.02 PST,1573.33+j517.13
2025-01-01 01:46:00.02 PST,1570.67+j516.253
2025-01-01 01:47:00.02 PST,1506+j494.998
2025-01-01 01:48:00.02 PST,1414.67+j464.979
2025-01-01 01:49:00.02 PST,1370+j450.297
2025-01-01 01:50:00.02 PST,1368.67+j449.859
2025-01-01 01:51:00.02 PST,1366.67+j449.202
2025-01-01 01:52:00.02 PST,1368.67+j449.859
2025-01-01 01:53:00.02 PST,1370.67+j450.516
2025-01-01 01:54:00.02 PST,1372.67+j451.174
2025-01-01 01:55:00.02 PST,1371.33+j450.735
2025-01-01 01:56:00.02 PST,1376.67+j452.489
2025-01-01 01:57:00.02 PST,1374.67+j451.831
2025-01-01 01:58:00.02 PST,1372.67+j451.174
2025-01-01 01:59:00.02 PST,1370.67+j450.516
2025-01-01 02:00:00.02 PST,1368.67+j449.859
2025-01-01 02:01:00.02 PST,1366.67+j449.202
2025-01-01 02:02:00.02 PST,1368.67+j449.859
2025-01-01 02:03:00.02 PST,1370.67+j450.516
2025-01-01 02:04:00.02 PST,1372.67+j451.174
2025-01-01 02:05:00.02 PST,1374.67+j451.831
2025-01-01 02:06:00.02 PST,1376.67+j452.489
2025-01-01 02:07:00.02 PST,1374.67+j451.831
2025-01-01 02:08:00.02 PST,1372.67+j451.174
2025-01-01 02:09:00.02 PST,1370.67+j450.516
2025-01-01 02:10:00.02 PST,1368.67+j449.859
2025-01-01 02:11:00.02 PST,1363.33+j448.106
2025-01-01 02:12:00.02 PST,1363.33+j448.106
2025-01-01 02:13:00.02 PST,1363.33+j448.106
2025-01-01 02:14:00.02 PST,1363.33+j448.106
2025-01-01 02:15:00.02 PST,1333.33+j438.245
2025-01-01 02:16:00.02 PST,1333.33+j438.245
2025-01-01 02:17:00.02 PST,1336.67+j439.341
2025-01-01 02:18:00.02 PST,1333.33+j438.245
2025-01-01 02:19:00.02 PST,1336.67+j439.341
2025-01-01 02:20:00.02 PST,1336.67+j439.341
2025-01-01 02:21:00.02 PST,1333.33+j438.245
2025-01-01 02:22:00.02 PST,1347.33+j442.847
2025-01-01 02:23:00.02 PST,1361.33+j447.449
2025-01-01 02:24:00.02 PST,1372+j450.955
2025-01-01 02:25:00.02 PST,1386+j455.556
2025-01-01 02:26:00.02 PST,1399.33+j459.939
