#timestamp,constant_power_B
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,6111.67+j2008.81
2025-01-01 00:02:00.00 PST,6107.78+j2007.53
2025-01-01 00:03:00.00 PST,6087.22+j2000.77
2025-01-01 00:04:00.00 PST,6063.33+j1992.92
2025-01-01 00:05:00.00 PST,6016+j1977.36
2025-01-01 00:06:00.00 PST,5988.67+j1968.38
2025-01-01 00:07:00.00 PST,5961.33+j1959.39
2025-01-01 00:08:00.00 PST,5800.67+j1906.59
2025-01-01 00:09:00.00 PST,5662.33+j1861.12
2025-01-01 00:10:00.02 PST,5521.33+j1814.77
2025-01-01 00:11:00.02 PST,5378.67+j1767.88
2025-01-01 00:12:00.02 PST,5389.33+j1771.39
2025-01-01 00:13:00.02 PST,5960+j1958.96
2025-01-01 00:14:00.02 PST,5936.19+j1951.13
2025-01-01 00:15:00.02 PST,5910.38+j1942.65
2025-01-01 00:16:00.02 PST,5887.9+j1935.26
2025-01-01 00:17:00.02 PST,5832.1+j1916.92
2025-01-01 00:18:00.02 PST,5849.62+j1922.68
2025-01-01 00:19:00.02 PST,5797.14+j1905.43
2025-01-01 00:20:00.02 PST,5774+j1897.82
2025-01-01 00:21:00.02 PST,5768.67+j1896.07
2025-01-01 00:22:00.02 PST,5786.67+j1901.99
2025-01-01 00:23:00.02 PST,5268+j1731.51
2025-01-01 00:24:00.02 PST,5302.67+j1742.9
2025-01-01 00:25:00.02 PST,5344+j1756.49
2025-01-01 00:26:00.02 PST,5380.67+j1768.54
2025-01-01 00:27:00.02 PST,5360.67+j1761.97
2025-01-01 00:28:00.02 PST,5347.33+j1757.58
2025-01-01 00:29:00.02 PST,5367.33+j1764.16
2025-01-01 00:30:00.02 PST,5332.67+j1752.76
2025-01-01 00:31:00.02 PST,5298.67+j1741.59
2025-01-01 00:32:00.02 PST,5311.33+j1745.75
2025-01-01 00:33:00.02 PST,5324+j1749.91
2025-01-01 00:34:00.02 PST,5293.33+j1739.83
2025-01-01 00:35:00.02 PST,5323.33+j1749.69
2025-01-01 00:36:00.02 PST,5303.33+j1743.12
2025-01-01 00:37:00.02 PST,5396.67+j1773.8
2025-01-01 00:38:00.02 PST,5526.67+j1816.53
2025-01-01 00:39:00.02 PST,5663.33+j1861.45
2025-01-01 00:40:00.02 PST,5766.67+j1895.41
2025-01-01 00:41:00.02 PST,5870+j1929.38
2025-01-01 00:42:00.02 PST,5863.33+j1927.18
2025-01-01 00:43:00.02 PST,5816.67+j1911.85
2025-01-01 00:44:00.02 PST,5780+j1899.79
2025-01-01 00:45:00.02 PST,5790+j1903.08
2025-01-01 00:46:00.02 PST,5753.33+j1891.03
2025-01-01 00:47:00.02 PST,5703.33+j1874.6
2025-01-01 00:48:00.02 PST,5423.33+j1782.56
2025-01-01 00:49:00.02 PST,5176.67+j1701.49
2025-01-01 00:50:00.02 PST,4903.33+j1611.65
2025-01-01 00:51:00.02 PST,4646.67+j1527.29
2025-01-01 00:52:00.02 PST,4373.33+j1437.45
2025-01-01 00:53:00.02 PST,4136.67+j1359.66
2025-01-01 00:54:00.02 PST,3900+j1281.87
2025-01-01 00:55:00.02 PST,3662.67+j1203.86
2025-01-01 00:56:00.02 PST,3832+j1259.52
2025-01-01 00:57:00.02 PST,3281.33+j1078.52
2025-01-01 00:58:00.02 PST,2954+j970.933
2025-01-01 00:59:00.02 PST,2610+j857.866
2025-01-01 01:00:00.02 PST,2243.33+j737.348
2025-01-01 01:01:00.02 PST,1786+j587.03
2025-01-01 01:02:00.02 PST,1888.67+j620.775
2025-01-01 01:03:00.02 PST,1958+j643.563
2025-01-01 01:04:00.02 PST,2037.33+j669.639
2025-01-01 01:05:00.02 PST,2110+j693.523
2025-01-01 01:06:00.02 PST,2204+j724.42
2025-01-01 01:07:00.02 PST,2224.67+j731.213
2025-01-01 01:08:00.02 PST,2225.33+j731.432
2025-01-01 01:09:00.02 PST,2222.67+j730.555
2025-01-01 01:10:00.02 PST,2223.33+j730.774
2025-01-01 01:11:00.02 PST,2228.67+j732.527
2025-01-01 01:12:00.02 PST,2248.29+j738.976
2025-01-01 01:13:00.02 PST,2271.24+j746.52
2025-01-01 01:14:00.02 PST,2290.86+j752.968
2025-01-01 01:15:00.02 PST,2307.14+j758.321
2025-01-01 01:16:00.02 PST,2321.43+j763.017
2025-01-01 01:17:00.02 PST,2349.05+j772.095
2025-01-01 01:18:00.02 PST,2336.67+j768.025
2025-01-01 01:19:00.02 PST,2513.33+j826.093
2025-01-01 01:20:00.02 PST,2679.33+j880.654
2025-01-01 01:21:00.02 PST,2842+j934.12
2025-01-01 01:22:00.02 PST,3034.67+j997.447
2025-01-01 01:23:00.02 PST,3200.67+j1052.01
2025-01-01 01:24:00.02 PST,3200+j1051.79
2025-01-01 01:25:00.02 PST,3200+j1051.79
2025-01-01 01:26:00.02 PST,3203.33+j1052.88
2025-01-01 01:27:00.02 PST,3196.67+j1050.69
2025-01-01 01:28:00.02 PST,3193.33+j1049.6
2025-01-01 01:29:00.02 PST,3273.33+j1075.89
2025-01-01 01:30:00.02 PST,3353.33+j1102.19
2025-01-01 01:31:00.02 PST,3436+j1129.36
2025-01-01 01:32:00.02 PST,3488.67+j1146.67
2025-01-01 01:33:00.02 PST,3568+j1172.74
2025-01-01 01:34:00.02 PST,3430.67+j1127.61
