#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,557.333+j183.186
2025-01-01 00:02:00.00 PST,535.333+j175.955
2025-01-01 00:03:00.00 PST,513.333+j168.724
2025-01-01 00:04:00.00 PST,560.667+j184.282
2025-01-01 00:05:00.00 PST,608+j199.84
2025-01-01 00:06:00.00 PST,655.333+j215.398
2025-01-01 00:07:00.00 PST,702.667+j230.955
2025-01-01 00:08:00.00 PST,750+j246.513
2025-01-01 00:09:00.00 PST,712.667+j234.242
2025-01-01 00:10:00.02 PST,675.333+j221.971
2025-01-01 00:11:00.02 PST,638+j209.7
2025-01-01 00:12:00.02 PST,600.667+j197.43
2025-01-01 00:13:00.02 PST,563.333+j185.159
2025-01-01 00:14:00.02 PST,542+j178.147
2025-01-01 00:15:00.02 PST,520.667+j171.135
2025-01-01 00:16:00.02 PST,499.333+j164.123
2025-01-01 00:17:00.02 PST,478+j157.111
2025-01-01 00:18:00.02 PST,456.667+j150.099
2025-01-01 00:19:00.02 PST,453.333+j149.003
2025-01-01 00:20:00.02 PST,450+j147.908
2025-01-01 00:21:00.02 PST,446.667+j146.812
2025-01-01 00:22:00.02 PST,443.333+j145.717
2025-01-01 00:23:00.02 PST,440+j144.621
2025-01-01 00:24:00.02 PST,458+j150.537
2025-01-01 00:25:00.02 PST,475.444+j156.271
2025-01-01 00:26:00.02 PST,492.889+j162.005
2025-01-01 00:27:00.02 PST,510.333+j167.738
2025-01-01 00:28:00.02 PST,527.778+j173.472
2025-01-01 00:29:00.02 PST,627.889+j206.377
2025-01-01 00:30:00.02 PST,728+j239.282
2025-01-01 00:31:00.02 PST,828+j272.15
2025-01-01 00:32:00.02 PST,928+j305.019
2025-01-01 00:33:00.02 PST,1028+j337.887
2025-01-01 00:34:00.02 PST,956.667+j314.441
2025-01-01 00:35:00.02 PST,885.333+j290.995
2025-01-01 00:36:00.02 PST,808+j265.577
2025-01-01 00:37:00.02 PST,730.667+j240.159
2025-01-01 00:38:00.02 PST,653.333+j214.74
2025-01-01 00:39:00.02 PST,675.333+j221.971
2025-01-01 00:40:00.02 PST,703.333+j231.174
2025-01-01 00:41:00.02 PST,731.333+j240.378
