#timestamp,constant_power_A
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,1274+j418.744
2025-01-01 00:02:00.00 PST,1434+j471.333
2025-01-01 00:03:00.00 PST,1322+j434.52
2025-01-01 00:04:00.00 PST,1416+j465.417
2025-01-01 00:05:00.00 PST,1385+j455.227
2025-01-01 00:06:00.00 PST,1484+j487.767
2025-01-01 00:07:00.00 PST,1473+j484.152
2025-01-01 00:08:00.00 PST,1492+j490.397
2025-01-01 00:09:00.00 PST,1404+j461.472
2025-01-01 00:10:00.02 PST,1376+j452.269
2025-01-01 00:11:00.02 PST,1470+j483.166
2025-01-01 00:12:00.02 PST,1474+j484.48
2025-01-01 00:13:00.02 PST,1488+j489.082
2025-01-01 00:14:00.02 PST,1432+j470.676
2025-01-01 00:15:00.02 PST,1506+j494.998
2025-01-01 00:16:00.02 PST,1604+j527.209
2025-01-01 00:17:00.02 PST,1388+j456.214
2025-01-01 00:18:00.02 PST,1364+j448.325
2025-01-01 00:19:00.02 PST,1328+j436.492
2025-01-01 00:20:00.02 PST,1212+j398.365
2025-01-01 00:21:00.02 PST,2058+j676.432
2025-01-01 00:22:00.02 PST,2974+j977.507
2025-01-01 00:23:00.02 PST,4010+j1318.02
2025-01-01 00:24:00.02 PST,4732+j1555.33
2025-01-01 00:25:00.02 PST,5494+j1805.79
2025-01-01 00:26:00.02 PST,5400+j1774.89
2025-01-01 00:27:00.02 PST,5396+j1773.58
2025-01-01 00:28:00.02 PST,5452+j1791.99
2025-01-01 00:29:00.02 PST,5341.67+j1755.72
2025-01-01 00:30:00.02 PST,5311.33+j1745.75
2025-01-01 00:31:00.02 PST,5481+j1801.52
2025-01-01 00:32:00.02 PST,4660.67+j1531.89
2025-01-01 00:33:00.02 PST,3900.33+j1281.98
2025-01-01 00:34:00.02 PST,3086+j1014.32
2025-01-01 00:35:00.02 PST,2147.5+j705.849
2025-01-01 00:36:00.02 PST,2171+j713.573
2025-01-01 00:37:00.02 PST,1534.5+j504.366
2025-01-01 00:38:00.02 PST,1018+j334.6
2025-01-01 00:39:00.02 PST,1082+j355.636
2025-01-01 00:40:00.02 PST,976+j320.796
2025-01-01 00:41:00.02 PST,1048+j344.461
2025-01-01 00:42:00.02 PST,980+j322.11
2025-01-01 00:43:00.02 PST,982+j322.768
2025-01-01 00:44:00.02 PST,1056+j347.09
2025-01-01 00:45:00.02 PST,1012.5+j332.793
2025-01-01 00:46:00.02 PST,1155+j379.63
