#timestamp,constant_power_C
2025-01-01 00:00:00.00 PST,100+j0
2025-01-01 00:01:00.00 PST,863+j283.654
2025-01-01 00:02:00.00 PST,867+j284.969
2025-01-01 00:03:00.00 PST,865.667+j284.531
2025-01-01 00:04:00.00 PST,871.667+j286.503
2025-01-01 00:05:00.00 PST,858.333+j282.12
2025-01-01 00:06:00.00 PST,899+j295.487
2025-01-01 00:07:00.00 PST,895.667+j294.392
2025-01-01 00:08:00.00 PST,901+j296.144
2025-01-01 00:09:00.00 PST,901.333+j296.254
2025-01-01 00:10:00.02 PST,914.333+j300.527
2025-01-01 00:11:00.02 PST,911.333+j299.541
2025-01-01 00:12:00.02 PST,898.667+j295.378
2025-01-01 00:13:00.02 PST,895.667+j294.392
2025-01-01 00:14:00.02 PST,895+j294.172
2025-01-01 00:15:00.02 PST,891.619+j293.061
2025-01-01 00:16:00.02 PST,895.238+j294.251
2025-01-01 00:17:00.02 PST,904.19+j297.193
2025-01-01 00:18:00.02 PST,905.81+j297.725
2025-01-01 00:19:00.02 PST,907.762+j298.367
2025-01-01 00:20:00.02 PST,909.381+j298.899
2025-01-01 00:21:00.02 PST,931+j306.005
2025-01-01 00:22:00.02 PST,934.667+j307.21
2025-01-01 00:23:00.02 PST,948.333+j311.702
2025-01-01 00:24:00.02 PST,965+j317.18
2025-01-01 00:25:00.02 PST,1023+j336.244
2025-01-01 00:26:00.02 PST,1044.33+j343.256
2025-01-01 00:27:00.02 PST,1063+j349.391
2025-01-01 00:28:00.02 PST,1104+j362.867
2025-01-01 00:29:00.02 PST,1118+j367.469
2025-01-01 00:30:00.02 PST,1129.67+j371.304
2025-01-01 00:31:00.02 PST,1145+j376.343
2025-01-01 00:32:00.02 PST,1127.33+j370.536
2025-01-01 00:33:00.02 PST,1097.33+j360.676
2025-01-01 00:34:00.02 PST,1067+j350.706
2025-01-01 00:35:00.02 PST,1055+j346.762
2025-01-01 00:36:00.02 PST,1024.33+j336.682
2025-01-01 00:37:00.02 PST,1034+j339.859
2025-01-01 00:38:00.02 PST,1034.67+j340.079
2025-01-01 00:39:00.02 PST,1042.67+j342.708
2025-01-01 00:40:00.02 PST,1015.33+j333.724
2025-01-01 00:41:00.02 PST,995.667+j327.26
2025-01-01 00:42:00.02 PST,999+j328.355
2025-01-01 00:43:00.02 PST,1001+j329.013
2025-01-01 00:44:00.02 PST,1021.67+j335.806
2025-01-01 00:45:00.02 PST,1004+j329.999
2025-01-01 00:46:00.02 PST,1006.67+j330.875
2025-01-01 00:47:00.02 PST,1010.33+j332.08
2025-01-01 00:48:00.02 PST,988.667+j324.959
2025-01-01 00:49:00.02 PST,968.333+j318.276
2025-01-01 00:50:00.02 PST,930.333+j305.786
2025-01-01 00:51:00.02 PST,904.333+j297.24
2025-01-01 00:52:00.02 PST,891+j292.858
2025-01-01 00:53:00.02 PST,887.333+j291.652
2025-01-01 00:54:00.02 PST,864.333+j284.093
2025-01-01 00:55:00.02 PST,865.667+j284.531
2025-01-01 00:56:00.02 PST,865+j284.312
2025-01-01 00:57:00.02 PST,852.333+j280.148
2025-01-01 00:58:00.02 PST,834+j274.123
2025-01-01 00:59:00.02 PST,892+j293.186
2025-01-01 01:00:00.02 PST,904.667+j297.35
2025-01-01 01:01:00.02 PST,925+j304.033
